replies_count,retweets_count,likes_count,date,High,Low,average_stock
240,362,4650,2021-01-26,895.900024,871.599976,883.75
412,623,11949,2021-01-26,895.900024,871.599976,883.75
190,161,2711,2021-01-25,900.400024,838.820007,869.6100155
151,86,2636,2021-01-25,900.400024,838.820007,869.6100155
162,353,3642,2021-01-25,900.400024,838.820007,869.6100155
344,394,8257,2021-01-25,900.400024,838.820007,869.6100155
131,76,2726,2021-01-25,900.400024,838.820007,869.6100155
105,168,2382,2021-01-25,900.400024,838.820007,869.6100155
60,38,1422,2021-01-25,900.400024,838.820007,869.6100155
90,44,1349,2021-01-25,900.400024,838.820007,869.6100155
382,521,11664,2021-01-25,900.400024,838.820007,869.6100155
72,53,1043,2021-01-25,900.400024,838.820007,869.6100155
681,992,22336,2021-01-25,900.400024,838.820007,869.6100155
373,351,6141,2021-01-25,900.400024,838.820007,869.6100155
1462,786,16716,2021-01-22,848.0,828.619995,838.3099975
610,1479,29188,2021-01-22,848.0,828.619995,838.3099975
598,518,17640,2021-01-22,848.0,828.619995,838.3099975
5808,3168,96643,2021-01-22,848.0,828.619995,838.3099975
57987,57327,603708,2021-01-22,848.0,828.619995,838.3099975
265,276,21844,2021-01-22,848.0,828.619995,838.3099975
760,623,26056,2021-01-21,855.719971,841.419983,848.569977
321,228,9385,2021-01-21,855.719971,841.419983,848.569977
359,299,17595,2021-01-21,855.719971,841.419983,848.569977
426,686,20973,2021-01-15,859.900024,819.099976,839.5
329,483,7558,2021-01-15,859.900024,819.099976,839.5
132,145,2396,2021-01-15,859.900024,819.099976,839.5
1353,3013,14860,2021-01-15,859.900024,819.099976,839.5
6344,7356,104597,2021-01-15,859.900024,819.099976,839.5
92,46,1756,2021-01-15,859.900024,819.099976,839.5
99,48,2849,2021-01-15,859.900024,819.099976,839.5
268,255,9189,2021-01-15,859.900024,819.099976,839.5
171,180,3917,2021-01-15,859.900024,819.099976,839.5
92,76,3824,2021-01-15,859.900024,819.099976,839.5
140,91,3091,2021-01-15,859.900024,819.099976,839.5
341,539,6088,2021-01-14,863.0,838.75,850.875
1338,1608,50511,2021-01-14,863.0,838.75,850.875
409,530,12522,2021-01-14,863.0,838.75,850.875
1493,1782,65592,2021-01-13,860.469971,832.0,846.2349855
111,99,3341,2021-01-13,860.469971,832.0,846.2349855
